related_sentence,predicted_topic,predicted_sentiment
Value for money...,Value for money,1
value for money...,Value for money,1
worst product.,Value,0
Waste of money,Value for money,0
use it,Usability,1
Value for the price,Value for money,1
Very very disappointed,Value,0
Worst product.,Value,0
Charge,Charging performance,0
cleaning,Cleanable,1
Smoothly,Closeness,1
Great to use,Value,1
Working nicely,Performances,1
Value for Money.,Value for money,1
Very disappointed,Value,0
Value for money.,Value for money,1
Still Working,Performances,1
value for money.,Value for money,1
Thanks philips,Brand,1
Working as expected,Performances,1
It just stopped working.,Durability not working,0
Value for the money,Value for money,1
Price,Price,1
works well.,Performances,1
